Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity Sold,Cost Price,Sales,Profit,Payment Mode,Delivery Status,Shipment Mode,Discount,Return Status,Auto Reorder,Reorder Quantity
ORD1012,05-09-2024,17-04-2024,CUST416,David Lee,Consumer,PROD2297,Calculator,Office Supplies,South,Maharashtra,Bangalore,31,7428.72,9498.63,2069.91,Debit Card,Pending,First Class,26,Returned,No,6
ORD1013,13-07-2025,18-02-2025,CUST561,David Smith,Consumer,PROD8898,Calculator,Furniture,West,Karnataka,Bangalore,37,14534.27,18512.69,3978.42,Debit Card,Pending,Standard Class,1,Returned,No,3
ORD1014,06-02-2024,17-10-2024,CUST842,John Lee,Corporate,PROD6009,Printer,Technology,East,Maharashtra,Mumbai,44,11020.44,12529.39,1508.95,Net Banking,Delivered,Same Day,28,Returned,Yes,1
ORD1015,29-10-2024,14-05-2024,CUST912,Sophia Green,Home Office,PROD4581,Calculator,Technology,South,UP,Mumbai,43,4616.52,6769.23,2152.71,Debit Card,Pending,First Class,20,No Return,Yes,44
ORD1016,30-05-2025,21-12-2024,CUST898,Monica Smith,Consumer,PROD7358,Printer,Office Supplies,East,Tamil Nadu,Mumbai,11,18710.09,29482.65,10772.56,Debit Card,Delivered,Standard Class,2,No Return,No,2
ORD1017,20-06-2024,19-04-2024,CUST234,Amy Johnson,Home Office,PROD6048,Calculator,Furniture,East,Delhi,Mumbai,41,8739.92,13555.09,4815.17,Cash,Cancelled,Second Class,26,Returned,No,21
ORD1018,19-06-2024,21-02-2024,CUST861,Emma Brown,Corporate,PROD7201,Laptop,Technology,East,UP,Mumbai,8,2425.18,2669.84,244.66,Debit Card,Pending,Same Day,8,No Return,Yes,38
ORD1019,10-01-2025,07-07-2025,CUST383,Amy Brown,Consumer,PROD6535,Bookshelf,Technology,South,UP,Mumbai,33,992.27,1772.46,780.19,Cash,Delivered,Second Class,1,No Return,No,37
ORD1020,31-01-2024,29-07-2025,CUST651,Monica Lee,Corporate,PROD9413,Laptop,Technology,North,Tamil Nadu,Chennai,19,2261.3,3853.5,1592.2,UPI,Cancelled,First Class,4,Returned,No,30
ORD1021,25-02-2025,31-05-2025,CUST436,Chris Johnson,Corporate,PROD6098,Desk,Office Supplies,West,UP,Chennai,46,4941.87,7619.22,2677.35,Debit Card,Cancelled,Standard Class,9,Returned,No,27
ORD1022,07-03-2025,18-08-2025,CUST533,Stephen Smith,Home Office,PROD1522,Bookshelf,Office Supplies,East,UP,Lucknow,47,4473.38,7766.78,3293.4,Cash,Pending,Standard Class,5,Returned,No,49
ORD1023,02-12-2024,09-08-2024,CUST691,John Brown,Home Office,PROD4644,Laptop,Technology,South,Maharashtra,Delhi,28,18317.27,21954.97,3637.7,Credit Card,Pending,Standard Class,19,No Return,No,5
ORD1024,08-07-2024,15-10-2024,CUST636,Amy Brown,Home Office,PROD1249,Chair,Technology,South,Punjab,Amritsar,40,5700.94,6879.93,1178.99,Credit Card,Delivered,Second Class,9,Returned,No,0
ORD1025,22-05-2025,30-06-2025,CUST682,Monica Johnson,Corporate,PROD1663,Chair,Technology,West,Karnataka,Delhi,14,7577.96,11645.28,4067.32,UPI,Pending,Second Class,5,Returned,Yes,3
ORD1026,27-10-2025,17-01-2025,CUST440,Sophia Lee,Consumer,PROD2369,Pen Set,Office Supplies,East,UP,Lucknow,40,10116.08,17602.27,7486.19,Credit Card,Delivered,Second Class,7,No Return,No,47
ORD1027,20-02-2024,10-06-2024,CUST715,Sophia Brown,Corporate,PROD1771,Pen Set,Office Supplies,South,UP,Delhi,36,14616.43,24062.64,9446.21,Net Banking,Delivered,Standard Class,14,Returned,Yes,24
ORD1028,24-05-2025,25-02-2024,CUST952,John Lee,Consumer,PROD3829,Laptop,Office Supplies,North,Punjab,Mumbai,27,11449.79,17315.93,5866.14,Debit Card,Pending,Second Class,13,No Return,Yes,5
ORD1029,28-02-2025,10-06-2025,CUST620,Amy Smith,Consumer,PROD9595,Bookshelf,Office Supplies,North,Maharashtra,Bangalore,20,5364.54,8562.12,3197.58,Credit Card,Pending,Standard Class,27,No Return,No,38
ORD1030,04-11-2024,02-06-2025,CUST454,Stephen Green,Corporate,PROD4093,Laptop,Office Supplies,North,Delhi,Lucknow,21,215.28,287.05,71.77,Cash,Delivered,Second Class,3,No Return,Yes,31
ORD1031,28-04-2025,08-10-2025,CUST985,David Smith,Corporate,PROD7509,Calculator,Furniture,South,Punjab,Lucknow,40,4954.52,5961.18,1006.66,UPI,Delivered,Second Class,12,No Return,No,35
ORD1032,04-04-2025,15-06-2024,CUST938,Amy Smith,Home Office,PROD1957,Bookshelf,Technology,North,Tamil Nadu,Delhi,23,7313.22,8091.54,778.32,Net Banking,Cancelled,Same Day,2,No Return,Yes,13
ORD1033,20-07-2024,04-07-2024,CUST755,Amy Dunn,Corporate,PROD1957,Bookshelf,Furniture,West,Maharashtra,Bangalore,31,1280.67,1829.98,549.31,Debit Card,Cancelled,Second Class,18,Returned,No,2
ORD1034,26-12-2024,06-08-2025,CUST428,Monica Lee,Corporate,PROD7723,Bookshelf,Furniture,South,Maharashtra,Bangalore,43,3088.9,3489.17,400.27,Credit Card,Cancelled,Second Class,27,No Return,No,39
ORD1035,13-07-2025,04-04-2025,CUST563,David Dunn,Home Office,PROD2344,Pen Set,Office Supplies,West,Karnataka,Amritsar,41,15046.56,19034.1,3987.54,Net Banking,Pending,First Class,7,No Return,No,35
ORD1036,18-07-2025,11-01-2024,CUST328,Monica Dunn,Home Office,PROD7560,Chair,Furniture,East,Maharashtra,Lucknow,47,13236.15,18234.97,4998.82,UPI,Delivered,Standard Class,15,No Return,No,42
ORD1037,05-05-2025,16-02-2024,CUST954,Chris Johnson,Consumer,PROD3896,Calculator,Furniture,East,Karnataka,Bangalore,22,5687.85,8903.14,3215.29,Net Banking,Delivered,Same Day,23,No Return,No,16
ORD1038,10-10-2025,24-01-2025,CUST758,Stephen Smith,Corporate,PROD6020,Bookshelf,Technology,East,Karnataka,Amritsar,12,16210.02,26143.02,9933.0,Net Banking,Cancelled,Same Day,27,Returned,No,24
ORD1039,22-12-2024,04-09-2024,CUST365,Chris Dunn,Consumer,PROD3322,Calculator,Furniture,West,UP,Amritsar,44,10622.27,13593.69,2971.42,Cash,Cancelled,Standard Class,2,Returned,No,31
ORD1040,23-03-2024,14-08-2024,CUST595,Monica Brown,Home Office,PROD3413,Bookshelf,Office Supplies,South,UP,Chennai,42,2671.75,4568.5,1896.75,Net Banking,Delivered,Second Class,4,No Return,No,48
ORD1041,27-05-2024,05-11-2025,CUST660,Amy Johnson,Consumer,PROD2781,Bookshelf,Technology,North,UP,Mumbai,46,4519.42,7890.69,3371.27,Net Banking,Delivered,First Class,3,No Return,Yes,13
ORD1042,07-03-2025,20-07-2025,CUST510,Chris Johnson,Consumer,PROD9897,Calculator,Technology,West,Karnataka,Mumbai,5,9330.92,11908.21,2577.29,Cash,Cancelled,First Class,19,Returned,Yes,29
ORD1043,05-01-2025,21-01-2025,CUST584,Emma Green,Home Office,PROD2175,Calculator,Office Supplies,North,Punjab,Bangalore,34,17473.11,24301.96,6828.85,Credit Card,Delivered,Same Day,9,No Return,Yes,29
ORD1044,10-11-2024,10-04-2025,CUST298,Monica Lee,Home Office,PROD1562,Pen Set,Technology,East,Delhi,Delhi,6,17118.14,26881.46,9763.32,UPI,Cancelled,Standard Class,26,Returned,No,0
ORD1045,25-08-2024,15-12-2025,CUST451,Amy Lee,Corporate,PROD4939,Calculator,Furniture,East,Delhi,Bangalore,35,14622.92,24680.49,10057.57,UPI,Cancelled,Standard Class,17,No Return,No,25
ORD1046,22-10-2024,07-11-2025,CUST992,Amy Dunn,Corporate,PROD4999,Calculator,Office Supplies,West,Delhi,Amritsar,20,15497.32,26943.32,11446.0,Credit Card,Pending,Same Day,24,Returned,No,4
ORD1047,23-08-2025,23-12-2024,CUST664,David Green,Corporate,PROD3707,Laptop,Office Supplies,West,Tamil Nadu,Lucknow,22,2069.95,3358.03,1288.08,Cash,Cancelled,First Class,10,Returned,No,32
ORD1048,14-07-2024,02-01-2025,CUST980,Amy Lee,Consumer,PROD1637,Pen Set,Office Supplies,North,Tamil Nadu,Delhi,22,1446.74,1760.4,313.66,Credit Card,Cancelled,First Class,10,No Return,Yes,25
ORD1049,29-12-2025,26-03-2025,CUST320,Amy Lee,Corporate,PROD2976,Printer,Furniture,North,Delhi,Lucknow,9,1191.15,1523.39,332.24,Net Banking,Delivered,Same Day,7,Returned,Yes,24
ORD1050,01-01-2024,28-10-2025,CUST839,Monica Dunn,Consumer,PROD2408,Printer,Office Supplies,North,Tamil Nadu,Bangalore,43,5877.09,6678.99,801.9,UPI,Pending,Standard Class,5,No Return,Yes,34
ORD1051,02-11-2025,26-12-2025,CUST646,David Smith,Home Office,PROD9574,Bookshelf,Technology,South,Delhi,Mumbai,40,3882.01,5383.48,1501.47,Debit Card,Cancelled,Second Class,4,No Return,Yes,44
ORD1052,21-08-2024,26-07-2024,CUST568,Chris Brown,Home Office,PROD6069,Calculator,Technology,North,Punjab,Bangalore,8,15320.91,25587.52,10266.61,Debit Card,Cancelled,Same Day,8,No Return,Yes,1
ORD1053,04-10-2024,02-12-2025,CUST531,David Lee,Corporate,PROD4244,Desk,Technology,North,UP,Chennai,36,19365.1,22678.21,3313.11,Credit Card,Pending,Standard Class,10,Returned,Yes,37
ORD1054,25-08-2024,31-05-2024,CUST808,Chris Brown,Consumer,PROD1690,Printer,Technology,East,Maharashtra,Lucknow,29,19822.63,29619.62,9796.99,Net Banking,Pending,Second Class,10,Returned,No,23
ORD1055,06-08-2025,15-10-2025,CUST923,Sophia Brown,Corporate,PROD3907,Calculator,Technology,South,Maharashtra,Lucknow,15,14416.86,16656.78,2239.92,UPI,Cancelled,Second Class,2,No Return,No,41
ORD1056,05-03-2024,29-08-2025,CUST972,Sophia Brown,Home Office,PROD8707,Bookshelf,Technology,East,Delhi,Delhi,3,10497.68,16443.3,5945.62,Cash,Pending,Standard Class,3,Returned,Yes,29
ORD1057,29-04-2024,18-06-2025,CUST402,Stephen Lee,Home Office,PROD4407,Pen Set,Office Supplies,North,Tamil Nadu,Bangalore,34,11490.85,15887.75,4396.9,Cash,Cancelled,Second Class,22,Returned,No,2
ORD1058,09-11-2025,29-12-2024,CUST104,Sophia Dunn,Consumer,PROD1173,Desk,Furniture,North,UP,Chennai,44,19061.2,22182.34,3121.14,UPI,Pending,Standard Class,13,Returned,Yes,45
ORD1059,10-04-2024,31-01-2024,CUST931,Emma Lee,Consumer,PROD1895,Printer,Furniture,South,Tamil Nadu,Bangalore,30,19000.31,26622.42,7622.11,Cash,Cancelled,First Class,19,No Return,No,39
ORD1060,01-05-2025,04-12-2024,CUST484,Emma Green,Consumer,PROD7389,Chair,Technology,West,Maharashtra,Lucknow,22,13143.72,17327.86,4184.14,Net Banking,Pending,First Class,16,No Return,Yes,15
ORD1061,02-08-2024,03-07-2025,CUST905,Emma Brown,Corporate,PROD5382,Bookshelf,Office Supplies,East,Delhi,Lucknow,14,10478.47,18439.29,7960.82,Debit Card,Delivered,First Class,27,No Return,Yes,6
ORD1062,17-01-2024,22-02-2025,CUST178,Monica Johnson,Home Office,PROD3357,Desk,Technology,South,Tamil Nadu,Delhi,44,1109.19,1866.67,757.48,Net Banking,Pending,First Class,8,No Return,No,11
ORD1063,27-09-2024,22-09-2024,CUST754,Monica Lee,Home Office,PROD2574,Calculator,Furniture,West,Delhi,Amritsar,28,9011.46,12972.38,3960.92,Net Banking,Pending,First Class,22,Returned,Yes,41
ORD1064,13-04-2025,29-05-2024,CUST709,Monica Lee,Consumer,PROD5952,Desk,Technology,North,Maharashtra,Mumbai,49,5517.21,6808.98,1291.77,UPI,Pending,Same Day,28,Returned,No,20
ORD1065,17-03-2025,03-07-2024,CUST909,Sophia Smith,Consumer,PROD6750,Pen Set,Technology,North,Tamil Nadu,Chennai,16,11052.98,17434.96,6381.98,Credit Card,Cancelled,Same Day,9,Returned,Yes,34
ORD1066,15-06-2025,20-03-2024,CUST205,Monica Smith,Corporate,PROD1393,Chair,Office Supplies,East,UP,Delhi,15,8420.44,14368.68,5948.24,Net Banking,Delivered,Second Class,21,Returned,Yes,36
ORD1067,11-08-2024,11-04-2025,CUST526,Sophia Green,Corporate,PROD8926,Pen Set,Technology,North,UP,Delhi,27,12822.35,15183.15,2360.8,UPI,Pending,Standard Class,8,Returned,Yes,41
ORD1068,08-05-2024,03-02-2024,CUST833,Amy Dunn,Corporate,PROD6923,Desk,Office Supplies,South,Maharashtra,Delhi,7,2523.97,4096.62,1572.65,Debit Card,Cancelled,First Class,11,Returned,Yes,6
ORD1069,13-06-2024,30-09-2025,CUST315,Stephen Lee,Consumer,PROD3025,Desk,Technology,South,Maharashtra,Bangalore,37,3118.38,4572.87,1454.49,Debit Card,Delivered,Same Day,29,No Return,No,40
ORD1070,15-02-2024,02-01-2024,CUST298,John Smith,Consumer,PROD5346,Pen Set,Furniture,South,UP,Delhi,23,19179.21,26546.68,7367.47,UPI,Cancelled,Same Day,12,Returned,No,31
ORD1071,07-12-2024,09-11-2024,CUST150,Monica Johnson,Home Office,PROD7480,Chair,Furniture,North,Delhi,Bangalore,46,16266.41,20343.65,4077.24,Credit Card,Cancelled,Standard Class,8,Returned,No,20
ORD1072,26-09-2025,19-06-2024,CUST274,Stephen Lee,Home Office,PROD2575,Chair,Technology,East,Tamil Nadu,Chennai,27,2947.74,3617.54,669.8,Debit Card,Pending,Standard Class,9,No Return,No,41
ORD1073,01-05-2025,21-01-2024,CUST968,Monica Dunn,Home Office,PROD7235,Chair,Furniture,East,Delhi,Delhi,35,1323.57,2127.53,803.96,Credit Card,Delivered,First Class,18,No Return,Yes,22
ORD1074,25-02-2025,22-03-2025,CUST491,John Brown,Corporate,PROD4561,Pen Set,Office Supplies,South,Tamil Nadu,Delhi,13,6828.59,11725.33,4896.74,UPI,Pending,First Class,16,No Return,Yes,27
ORD1075,24-07-2025,06-06-2024,CUST927,Monica Smith,Consumer,PROD1229,Calculator,Technology,East,Punjab,Mumbai,24,12105.56,16058.91,3953.35,UPI,Delivered,Same Day,4,Returned,Yes,41
ORD1076,02-01-2024,24-03-2025,CUST852,Monica Smith,Home Office,PROD7364,Laptop,Technology,South,Delhi,Bangalore,25,19011.49,32837.14,13825.65,Net Banking,Delivered,Same Day,1,Returned,Yes,8
ORD1077,24-03-2025,16-04-2024,CUST598,Sophia Brown,Home Office,PROD3563,Calculator,Office Supplies,East,Delhi,Amritsar,14,4130.84,6379.67,2248.83,Net Banking,Cancelled,Second Class,24,Returned,No,29
ORD1078,28-02-2024,04-01-2025,CUST653,Monica Smith,Consumer,PROD6674,Laptop,Technology,East,Maharashtra,Bangalore,5,2122.94,2693.41,570.47,Cash,Cancelled,Same Day,6,No Return,Yes,20
ORD1079,29-01-2024,22-03-2025,CUST237,Emma Johnson,Corporate,PROD6111,Pen Set,Furniture,North,Delhi,Bangalore,12,1466.66,2276.92,810.26,Cash,Delivered,Second Class,13,No Return,Yes,13
ORD1080,25-05-2025,02-01-2024,CUST564,Stephen Dunn,Corporate,PROD7732,Calculator,Office Supplies,West,Delhi,Amritsar,41,10496.23,12106.43,1610.2,Cash,Pending,Second Class,26,Returned,Yes,27
ORD1081,11-11-2024,14-07-2024,CUST177,Stephen Smith,Consumer,PROD4461,Pen Set,Furniture,West,Punjab,Chennai,41,17885.1,28563.31,10678.21,UPI,Delivered,Same Day,7,No Return,Yes,16
ORD1082,05-08-2024,15-04-2024,CUST129,Monica Smith,Corporate,PROD6078,Chair,Furniture,West,Tamil Nadu,Chennai,1,7288.15,12632.76,5344.61,Net Banking,Pending,Same Day,18,Returned,Yes,39
ORD1083,19-03-2025,21-01-2024,CUST923,Chris Johnson,Corporate,PROD2375,Bookshelf,Technology,West,Punjab,Amritsar,37,13921.2,16632.17,2710.97,Debit Card,Cancelled,Standard Class,3,No Return,No,24
ORD1084,24-07-2024,24-10-2025,CUST845,John Green,Consumer,PROD6613,Desk,Technology,North,Punjab,Lucknow,43,3367.69,5753.16,2385.47,Cash,Delivered,Second Class,25,No Return,Yes,41
ORD1085,13-12-2025,09-08-2024,CUST496,Stephen Johnson,Home Office,PROD3832,Calculator,Technology,South,Maharashtra,Lucknow,22,13398.26,15703.77,2305.51,UPI,Cancelled,Same Day,14,Returned,No,10
ORD1086,01-04-2024,19-09-2024,CUST979,John Brown,Home Office,PROD2212,Pen Set,Furniture,East,Punjab,Mumbai,20,520.02,589.6,69.58,Net Banking,Cancelled,Second Class,6,Returned,No,37
ORD1087,21-06-2024,18-04-2024,CUST915,John Johnson,Consumer,PROD4949,Printer,Office Supplies,North,UP,Bangalore,21,12745.79,16651.78,3905.99,Net Banking,Delivered,First Class,21,Returned,No,29
ORD1088,05-09-2024,16-11-2025,CUST787,Monica Lee,Consumer,PROD5402,Calculator,Office Supplies,East,Karnataka,Chennai,38,15987.5,24225.54,8238.04,Debit Card,Pending,Same Day,21,No Return,Yes,34
ORD1089,05-06-2024,08-08-2024,CUST759,Amy Johnson,Home Office,PROD9526,Calculator,Technology,North,UP,Delhi,23,12108.63,21557.44,9448.81,Net Banking,Pending,Standard Class,26,No Return,Yes,42
ORD1090,26-05-2024,23-12-2025,CUST459,John Brown,Home Office,PROD4872,Pen Set,Office Supplies,East,Delhi,Lucknow,7,10417.87,17218.61,6800.74,Debit Card,Pending,Same Day,19,Returned,Yes,35
ORD1091,10-06-2025,30-06-2024,CUST212,Amy Green,Corporate,PROD8142,Pen Set,Technology,West,Delhi,Lucknow,39,9198.27,12463.81,3265.54,Cash,Cancelled,Second Class,10,No Return,No,41
ORD1092,29-11-2024,16-05-2024,CUST201,David Green,Consumer,PROD4769,Calculator,Technology,West,UP,Lucknow,43,17374.15,23025.0,5650.85,Debit Card,Cancelled,Same Day,26,No Return,No,41
ORD1093,29-09-2025,26-11-2024,CUST174,Chris Green,Consumer,PROD1740,Pen Set,Office Supplies,North,UP,Amritsar,10,5578.98,9852.72,4273.74,Credit Card,Pending,First Class,14,No Return,No,29
ORD1094,07-05-2024,03-05-2024,CUST702,Monica Dunn,Home Office,PROD6991,Desk,Furniture,West,Maharashtra,Mumbai,17,12804.16,19791.9,6987.74,UPI,Cancelled,First Class,28,Returned,Yes,47
ORD1095,06-05-2024,07-10-2024,CUST322,Amy Smith,Corporate,PROD5404,Pen Set,Technology,South,Karnataka,Delhi,38,129.58,179.12,49.54,UPI,Pending,Same Day,24,Returned,No,8
ORD1096,12-05-2024,12-05-2025,CUST465,Sophia Green,Corporate,PROD1639,Laptop,Technology,South,Delhi,Mumbai,23,8029.59,10945.6,2916.01,UPI,Cancelled,Second Class,19,Returned,Yes,45
ORD1097,05-12-2024,30-03-2025,CUST818,Stephen Brown,Consumer,PROD8467,Printer,Furniture,South,Tamil Nadu,Lucknow,1,8042.07,10831.28,2789.21,UPI,Pending,Second Class,19,Returned,No,47
ORD1098,31-08-2025,10-08-2024,CUST539,John Johnson,Home Office,PROD5358,Chair,Furniture,West,UP,Lucknow,2,7045.8,11843.82,4798.02,Net Banking,Pending,Same Day,0,No Return,No,20
ORD1099,15-03-2024,10-12-2025,CUST197,David Dunn,Home Office,PROD5026,Pen Set,Office Supplies,West,Tamil Nadu,Lucknow,28,10398.13,15212.59,4814.46,Debit Card,Cancelled,Second Class,9,No Return,No,4
ORD1100,23-08-2025,23-08-2025,CUST508,Amy Green,Corporate,PROD7961,Chair,Furniture,East,Maharashtra,Delhi,23,13672.56,23029.3,9356.74,Credit Card,Cancelled,Same Day,24,Returned,No,18
ORD1101,29-09-2024,28-09-2025,CUST938,David Green,Home Office,PROD6009,Chair,Technology,West,UP,Chennai,40,17073.86,24369.69,7295.83,Debit Card,Cancelled,First Class,9,No Return,No,42
ORD1102,21-05-2024,25-03-2025,CUST722,Emma Green,Consumer,PROD4487,Bookshelf,Technology,South,Tamil Nadu,Lucknow,26,10180.02,14734.77,4554.75,Credit Card,Pending,Second Class,26,Returned,Yes,15
ORD1103,13-10-2025,12-07-2024,CUST143,Emma Smith,Corporate,PROD3477,Calculator,Technology,West,Tamil Nadu,Amritsar,44,9293.98,10480.44,1186.46,Debit Card,Pending,First Class,11,Returned,No,1
ORD1104,02-05-2025,20-03-2024,CUST186,Amy Green,Consumer,PROD6775,Desk,Technology,East,Delhi,Amritsar,42,15339.73,27324.33,11984.6,Cash,Pending,Second Class,25,Returned,Yes,40
ORD1105,15-11-2025,05-09-2024,CUST149,Chris Brown,Corporate,PROD9594,Bookshelf,Office Supplies,North,Delhi,Amritsar,12,6534.38,8678.09,2143.71,Credit Card,Cancelled,First Class,28,No Return,No,49
ORD1106,15-06-2024,10-06-2025,CUST701,Sophia Lee,Consumer,PROD8159,Desk,Office Supplies,South,UP,Lucknow,1,12990.97,16030.67,3039.7,Credit Card,Pending,Same Day,28,Returned,No,8
ORD1107,06-02-2025,16-02-2024,CUST612,Chris Brown,Corporate,PROD4514,Calculator,Technology,East,Punjab,Delhi,41,6958.71,9533.73,2575.02,Credit Card,Delivered,Second Class,22,Returned,Yes,11
ORD1108,09-09-2024,06-03-2025,CUST690,Emma Lee,Corporate,PROD9634,Pen Set,Office Supplies,South,UP,Amritsar,9,19861.5,30638.51,10777.01,Credit Card,Delivered,First Class,18,Returned,Yes,12
ORD1109,01-10-2025,11-02-2025,CUST150,Monica Johnson,Corporate,PROD3165,Desk,Furniture,East,Delhi,Lucknow,14,8054.76,13719.13,5664.37,Credit Card,Cancelled,Standard Class,22,Returned,Yes,43
ORD1110,08-06-2025,31-05-2024,CUST909,John Lee,Corporate,PROD1215,Pen Set,Office Supplies,South,Tamil Nadu,Amritsar,22,16661.05,28621.63,11960.58,Net Banking,Cancelled,Second Class,7,No Return,Yes,15
ORD1111,31-01-2025,24-10-2024,CUST991,Amy Lee,Consumer,PROD7003,Chair,Technology,North,Tamil Nadu,Lucknow,22,11369.83,14400.77,3030.94,Debit Card,Pending,Same Day,12,Returned,No,11
ORD1112,17-12-2024,23-01-2025,CUST789,Chris Smith,Home Office,PROD2130,Pen Set,Furniture,South,UP,Lucknow,35,2984.49,3649.14,664.65,Cash,Delivered,First Class,12,Returned,No,32
ORD1113,29-11-2025,05-03-2025,CUST711,John Lee,Home Office,PROD9165,Printer,Technology,North,Delhi,Delhi,13,18435.75,23215.25,4779.5,Debit Card,Delivered,Standard Class,19,No Return,Yes,9
ORD1114,19-01-2024,07-11-2025,CUST902,Chris Lee,Corporate,PROD6788,Bookshelf,Furniture,North,Delhi,Mumbai,13,5569.2,7650.41,2081.21,Credit Card,Cancelled,Same Day,15,Returned,No,37
ORD1115,30-04-2024,17-08-2024,CUST666,Monica Smith,Home Office,PROD6676,Chair,Technology,North,Karnataka,Bangalore,40,12518.24,19875.09,7356.85,Credit Card,Cancelled,First Class,1,Returned,Yes,33
ORD1116,17-08-2024,03-04-2024,CUST710,Monica Brown,Consumer,PROD6307,Printer,Furniture,East,Karnataka,Amritsar,18,456.68,576.61,119.93,Net Banking,Pending,Standard Class,25,No Return,No,47
ORD1117,22-03-2025,17-12-2024,CUST977,Sophia Johnson,Consumer,PROD6910,Laptop,Office Supplies,West,Tamil Nadu,Bangalore,25,16675.58,25407.78,8732.2,Credit Card,Pending,First Class,27,Returned,No,21
ORD1118,05-03-2024,05-03-2024,CUST419,Sophia Lee,Corporate,PROD7512,Pen Set,Technology,West,Punjab,Lucknow,27,17229.17,27561.71,10332.54,Cash,Delivered,First Class,21,Returned,No,32
ORD1119,16-08-2025,20-01-2025,CUST280,Chris Brown,Corporate,PROD5081,Chair,Technology,East,UP,Delhi,12,1879.28,2747.9,868.62,UPI,Delivered,Standard Class,8,No Return,No,9
ORD1120,05-02-2024,18-06-2025,CUST760,John Brown,Consumer,PROD7728,Printer,Office Supplies,East,Tamil Nadu,Lucknow,25,5773.36,8976.2,3202.84,Cash,Delivered,First Class,27,No Return,Yes,7
ORD1121,29-09-2025,10-12-2025,CUST442,Chris Smith,Consumer,PROD2701,Bookshelf,Technology,East,Delhi,Delhi,32,6380.46,7813.31,1432.85,Net Banking,Cancelled,First Class,12,Returned,No,5
ORD1122,24-11-2024,07-09-2024,CUST920,Emma Johnson,Corporate,PROD6031,Desk,Technology,West,Karnataka,Bangalore,27,17146.24,19788.24,2642.0,Cash,Delivered,Same Day,1,No Return,Yes,2
ORD1123,31-05-2024,22-05-2024,CUST358,Emma Dunn,Corporate,PROD2424,Bookshelf,Technology,South,Delhi,Lucknow,20,7219.72,9725.91,2506.19,UPI,Pending,First Class,15,No Return,No,31
ORD1124,22-08-2024,02-07-2025,CUST992,Chris Brown,Corporate,PROD3585,Calculator,Furniture,East,Delhi,Lucknow,12,17270.99,20784.67,3513.68,Credit Card,Delivered,Standard Class,1,No Return,Yes,32
